Search keyword report
"May 16, 2025 - September 16, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,apartamento vendas sao paulo,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto São Paulo,Eligible,,,"6,768","1,051",15.53%,BRL,0.30,318.38,"1,051",5.58%,58.63,0.30,5.43
Enabled,comprar ap são paulo,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto São Paulo,Eligible,,,"3,329",448,13.46%,BRL,0.30,134.58,448,4.90%,21.93,0.30,6.14
Enabled,apto à venda sp,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto São Paulo,Eligible,,,"11,126","2,138",19.22%,BRL,0.28,592.59,"2,138",11.59%,247.83,0.28,2.39
Enabled,comprar apartamento cobertura,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto São Paulo,Eligible,,,"6,433",981,15.25%,BRL,0.26,254.10,981,4.65%,45.57,0.26,5.58
Enabled,apartamento para compra são paulo,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto São Paulo,Eligible,,,"3,028",515,17.01%,BRL,0.27,140.45,515,6.37%,32.79,0.27,4.28
Enabled,aptos sao paulo,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto São Paulo,Eligible,,,"74,235","12,881",17.35%,BRL,0.30,3868.72,"12,881",6.48%,834.92,0.30,4.63
Enabled,comprar ap campinas,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"1,733",375,21.64%,BRL,0.26,98.62,375,2.57%,9.62,0.26,10.25
Enabled,apartamento vendas campinas,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"50,262","9,850",19.60%,BRL,0.24,2367.04,"9,850",5.22%,514.26,0.24,4.60
Enabled,apartamento para compra campinas,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"1,241",289,23.29%,BRL,0.29,83.18,289,5.82%,16.82,0.29,4.95
Enabled,casas para comprar sorocaba,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa Sorocaba,Eligible,,,"1,109",261,23.53%,BRL,0.19,50.13,261,4.74%,12.38,0.19,4.05
Enabled,casas a venda em sorocaba,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa Sorocaba,Eligible,,,"45,023","10,192",22.64%,BRL,0.15,1559.24,"10,192",3.91%,398.72,0.15,3.91
Enabled,casa em condominio sorocaba,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa Sorocaba,Eligible,,,"4,720","1,196",25.34%,BRL,0.17,206.59,"1,196",3.06%,36.57,0.17,5.65
Enabled,casa na praia imoveis,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,337,42,12.46%,BRL,0.35,14.55,42,4.46%,1.88,0.35,7.76
Enabled,apartamento para compra sorocaba,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto Sorocaba,Eligible,,,"11,492","2,122",18.47%,BRL,0.23,496.95,"2,122",2.75%,58.38,0.23,8.51
Enabled,comprar casa,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"130,041","28,079",21.59%,BRL,0.16,4587.51,"28,079",2.96%,829.89,0.16,5.53
Enabled,lote condominio,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"5,413","1,179",21.78%,BRL,0.20,240.06,"1,179",5.12%,60.41,0.20,3.97
Enabled,casas com piscina,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"1,283",276,21.51%,BRL,0.14,38.03,276,1.95%,5.38,0.14,7.06
Enabled,casa barata,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,203,16,7.88%,BRL,0.17,2.68,16,0.04%,0.01,0.17,419.46
Enabled,casa litoral,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"1,454",278,19.12%,BRL,0.18,50.46,278,5.87%,16.31,0.18,3.09
Enabled,predial imoveis,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,700,69,9.86%,BRL,0.51,35.45,69,2.48%,1.71,0.51,20.69
Enabled,apto à venda em sorocaba,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Apto Sorocaba,Not eligible,rarely served,,0,0, --,BRL,0,0.00,0,0.00%,0.00,0,0.00
Enabled,condominio fechado,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"30,721","4,283",13.94%,BRL,0.24,1035.66,"4,283",3.73%,159.66,0.24,6.49
Enabled,financia casa,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,493,35,7.10%,BRL,2.37,82.81,35,103.72%,36.30,2.37,2.28
Enabled,casa pre moldada preço,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,7,0,0.00%,BRL,0,0.00,0,0.00%,0.00,0,0.00
Enabled,sitio para comprar,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"13,721","2,463",17.95%,BRL,0.12,300.67,"2,463",2.77%,68.17,0.12,4.41
Enabled,casas da caixa,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"1,162",157,13.51%,BRL,0.48,74.87,157,11.02%,17.30,0.48,4.33
Enabled,simular compra de imovel,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,48,3,6.25%,BRL,1.27,3.82,3,0.00%,0.00,1.27,0.00
Enabled,casa em condominio,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"12,413","2,722",21.93%,BRL,0.15,420.55,"2,722",3.86%,105.07,0.15,4.00
Enabled,casa para comprar,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"14,617","3,108",21.26%,BRL,0.18,563.89,"3,108",5.83%,181.26,0.18,3.11
Enabled,casas para comprar,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,"2,276",404,17.75%,BRL,0.23,91.47,404,3.31%,13.38,0.23,6.84
Enabled,lote em condominio,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,58,10,17.24%,BRL,1.31,13.11,10,0.48%,0.05,1.31,273.62
Enabled,comprar casa modular,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,0,0, --,BRL,0,0.00,0,0.00%,0.00,0,0.00
Enabled,casas a venda em leilão,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,542,76,14.02%,BRL,0.85,64.52,76,9.82%,7.47,0.85,8.64
Enabled,simulação imovel,Broad match,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,Casa,Eligible,,,22,0,0.00%,BRL,0,0.00,0,0.00%,0.00,0,0.00
